"","y","group"
"352",16,"3"
"353",12,"3"
"354",10.5,"3"
"355",8,"3"
"356",18,"3"
"357",15,"3"
"358",6,"3"
"359",11,"3"
"360",14,"3"
"361",11,"3"
"362",14,"3"
"363",14,"3"
"364",15,"3"
"365",19,"3"
"366",16,"3"
"367",14,"3"
"368",14,"control"
"369",13,"3"
